,content_assignees_nodes_login,closedAt_Friday,variable,value
0,christyler3030,2023-08-25,rollingAvg_size_all,
1,christyler3030,2023-09-08,rollingAvg_size_all,
2,christyler3030,2023-09-15,rollingAvg_size_all,
3,christyler3030,2023-09-29,rollingAvg_size_all,1.25
4,christyler3030,2023-10-06,rollingAvg_size_all,2.125
5,christyler3030,2023-10-13,rollingAvg_size_all,1.375
6,christyler3030,2023-11-03,rollingAvg_size_all,1.875
7,christyler3030,2023-11-24,rollingAvg_size_all,3.625
8,christyler3030,2023-12-01,rollingAvg_size_all,4.75
9,christyler3030,2023-12-08,rollingAvg_size_all,5.0
10,christyler3030,2023-12-15,rollingAvg_size_all,6.75
11,christyler3030,2024-01-05,rollingAvg_size_all,4.75
12,christyler3030,2024-01-12,rollingAvg_size_all,3.5
13,christyler3030,2024-01-19,rollingAvg_size_all,6.25
14,christyler3030,2024-01-26,rollingAvg_size_all,4.875
15,christyler3030,2024-02-02,rollingAvg_size_all,5.625
16,christyler3030,2024-02-09,rollingAvg_size_all,6.5
17,christyler3030,2024-02-16,rollingAvg_size_all,4.25
18,christyler3030,2024-02-23,rollingAvg_size_all,3.25
19,christyler3030,2024-03-01,rollingAvg_size_all,3.0
20,christyler3030,2024-03-08,rollingAvg_size_all,2.625
21,christyler3030,2024-03-15,rollingAvg_size_all,2.0
22,christyler3030,2024-03-22,rollingAvg_size_all,3.25
23,christyler3030,2024-03-29,rollingAvg_size_all,3.75
24,christyler3030,2024-04-05,rollingAvg_size_all,2.875
25,danieltremblay,2023-09-01,rollingAvg_size_all,2.75
26,danieltremblay,2023-09-08,rollingAvg_size_all,2.125
27,danieltremblay,2023-09-15,rollingAvg_size_all,1.125
28,danieltremblay,2023-09-22,rollingAvg_size_all,0.75
29,danieltremblay,2023-09-29,rollingAvg_size_all,0.75
30,danieltremblay,2023-10-06,rollingAvg_size_all,1.5
31,danieltremblay,2023-10-13,rollingAvg_size_all,2.25
32,danieltremblay,2023-10-20,rollingAvg_size_all,9.0
33,danieltremblay,2023-10-27,rollingAvg_size_all,10.375
34,danieltremblay,2023-11-03,rollingAvg_size_all,11.625
35,danieltremblay,2023-11-10,rollingAvg_size_all,11.75
36,danieltremblay,2023-11-24,rollingAvg_size_all,7.875
37,danieltremblay,2023-12-01,rollingAvg_size_all,8.375
38,danieltremblay,2023-12-08,rollingAvg_size_all,8.875
39,danieltremblay,2023-12-22,rollingAvg_size_all,12.25
40,danieltremblay,2024-01-05,rollingAvg_size_all,9.375
41,danieltremblay,2024-01-12,rollingAvg_size_all,8.75
42,danieltremblay,2024-01-19,rollingAvg_size_all,6.125
43,danieltremblay,2024-01-26,rollingAvg_size_all,3.375
44,danieltremblay,2024-02-02,rollingAvg_size_all,3.75
45,danieltremblay,2024-02-09,rollingAvg_size_all,3.5
46,danieltremblay,2024-02-16,rollingAvg_size_all,3.875
47,danieltremblay,2024-03-22,rollingAvg_size_all,5.75
48,danieltremblay,2024-03-29,rollingAvg_size_all,5.875
49,erikchwang,2024-01-05,rollingAvg_size_all,5.125
50,erikchwang,2024-01-12,rollingAvg_size_all,5.625
51,erikchwang,2024-01-19,rollingAvg_size_all,3.25
52,erikchwang,2024-02-02,rollingAvg_size_all,4.625
53,erikchwang,2024-02-09,rollingAvg_size_all,4.5
54,erikchwang,2024-02-16,rollingAvg_size_all,3.5
55,erikchwang,2024-02-23,rollingAvg_size_all,2.5
56,erikchwang,2024-03-08,rollingAvg_size_all,1.875
57,erikchwang,2024-03-22,rollingAvg_size_all,5.0
58,erikchwang,2024-03-29,rollingAvg_size_all,5.0
59,gebelangsn,2023-09-29,rollingAvg_size_all,5.0
60,gebelangsn,2023-10-06,rollingAvg_size_all,3.75
61,gebelangsn,2023-10-13,rollingAvg_size_all,0.5
62,gebelangsn,2023-10-20,rollingAvg_size_all,0.5
63,gebelangsn,2023-10-27,rollingAvg_size_all,0.75
64,gebelangsn,2023-11-03,rollingAvg_size_all,1.5
65,gebelangsn,2023-11-24,rollingAvg_size_all,2.125
66,gebelangsn,2023-12-01,rollingAvg_size_all,1.875
67,gebelangsn,2023-12-08,rollingAvg_size_all,1.875
68,gebelangsn,2023-12-15,rollingAvg_size_all,5.375
69,gebelangsn,2023-12-22,rollingAvg_size_all,4.75
70,gebelangsn,2024-01-12,rollingAvg_size_all,4.625
71,gebelangsn,2024-01-19,rollingAvg_size_all,4.875
72,gebelangsn,2024-01-26,rollingAvg_size_all,0.625
73,gebelangsn,2024-03-22,rollingAvg_size_all,1.625
74,lachisis,2023-02-10,rollingAvg_size_all,1.5
75,lachisis,2023-04-21,rollingAvg_size_all,1.0
76,lachisis,2023-09-29,rollingAvg_size_all,1.25
77,lachisis,2023-10-06,rollingAvg_size_all,0.25
78,lachisis,2023-10-13,rollingAvg_size_all,1.0
79,lachisis,2023-10-20,rollingAvg_size_all,3.0
80,lachisis,2023-10-27,rollingAvg_size_all,4.0
81,lachisis,2023-12-15,rollingAvg_size_all,9.75
82,lachisis,2023-12-22,rollingAvg_size_all,9.75
83,lachisis,2023-12-29,rollingAvg_size_all,7.75
84,lachisis,2024-01-19,rollingAvg_size_all,10.0
85,lachisis,2024-01-26,rollingAvg_size_all,4.75
86,lachisis,2024-02-02,rollingAvg_size_all,5.0
87,lachisis,2024-02-16,rollingAvg_size_all,5.0
88,lachisis,2024-03-08,rollingAvg_size_all,1.625
89,lachisis,2024-03-22,rollingAvg_size_all,3.625
90,lachisis,2024-03-29,rollingAvg_size_all,3.125
91,mebrunet,2024-03-01,rollingAvg_size_all,4.25
92,mebrunet,2024-03-22,rollingAvg_size_all,7.25
93,mebrunet,2024-03-29,rollingAvg_size_all,5.125
94,mmunozm,2023-09-01,rollingAvg_size_all,4.625
95,mmunozm,2023-09-08,rollingAvg_size_all,4.25
96,mmunozm,2023-09-15,rollingAvg_size_all,1.125
97,mmunozm,2023-09-22,rollingAvg_size_all,1.5
98,mmunozm,2023-09-29,rollingAvg_size_all,1.875
99,mmunozm,2023-10-06,rollingAvg_size_all,3.375
100,mmunozm,2023-10-13,rollingAvg_size_all,4.125
101,mmunozm,2023-10-20,rollingAvg_size_all,3.375
102,mmunozm,2023-10-27,rollingAvg_size_all,6.125
103,mmunozm,2023-11-03,rollingAvg_size_all,5.375
104,mmunozm,2023-11-10,rollingAvg_size_all,5.75
105,mmunozm,2023-11-17,rollingAvg_size_all,7.75
106,mmunozm,2023-11-24,rollingAvg_size_all,4.875
107,mmunozm,2023-12-01,rollingAvg_size_all,5.25
108,mmunozm,2023-12-08,rollingAvg_size_all,7.0
109,mmunozm,2023-12-15,rollingAvg_size_all,5.375
110,mmunozm,2023-12-22,rollingAvg_size_all,7.125
111,mmunozm,2024-01-05,rollingAvg_size_all,6.0
112,mmunozm,2024-01-12,rollingAvg_size_all,3.25
113,mmunozm,2024-01-19,rollingAvg_size_all,3.5
114,mmunozm,2024-01-26,rollingAvg_size_all,2.375
115,mmunozm,2024-02-02,rollingAvg_size_all,3.125
116,mmunozm,2024-02-09,rollingAvg_size_all,3.75
117,mmunozm,2024-02-16,rollingAvg_size_all,4.375
118,mmunozm,2024-03-22,rollingAvg_size_all,3.875
119,mmunozm,2024-03-29,rollingAvg_size_all,2.875
120,mmunozm,2024-04-05,rollingAvg_size_all,2.125
121,nitsanluke,2023-09-01,rollingAvg_size_all,0.875
122,nitsanluke,2023-09-08,rollingAvg_size_all,0.5
123,nitsanluke,2023-09-15,rollingAvg_size_all,1.25
124,nitsanluke,2023-09-22,rollingAvg_size_all,4.625
125,nitsanluke,2023-09-29,rollingAvg_size_all,5.375
126,nitsanluke,2023-10-06,rollingAvg_size_all,5.375
127,nitsanluke,2023-10-13,rollingAvg_size_all,4.125
128,nitsanluke,2023-10-20,rollingAvg_size_all,1.0
129,nitsanluke,2023-10-27,rollingAvg_size_all,2.75
130,nitsanluke,2023-11-03,rollingAvg_size_all,3.75
131,nitsanluke,2023-11-10,rollingAvg_size_all,3.75
132,nitsanluke,2023-11-17,rollingAvg_size_all,4.875
133,nitsanluke,2023-11-24,rollingAvg_size_all,3.375
134,nitsanluke,2023-12-01,rollingAvg_size_all,4.625
135,nitsanluke,2023-12-08,rollingAvg_size_all,5.625
136,nitsanluke,2023-12-15,rollingAvg_size_all,9.25
137,nitsanluke,2023-12-22,rollingAvg_size_all,9.875
138,nitsanluke,2024-01-05,rollingAvg_size_all,8.375
139,nitsanluke,2024-01-19,rollingAvg_size_all,8.375
140,nitsanluke,2024-01-26,rollingAvg_size_all,4.125
141,nitsanluke,2024-02-02,rollingAvg_size_all,4.125
142,nitsanluke,2024-02-09,rollingAvg_size_all,4.125
143,nitsanluke,2024-02-16,rollingAvg_size_all,4.125
144,nitsanluke,2024-02-23,rollingAvg_size_all,3.625
145,nitsanluke,2024-03-01,rollingAvg_size_all,2.25
146,nitsanluke,2024-03-08,rollingAvg_size_all,3.25
147,nitsanluke,2024-03-15,rollingAvg_size_all,2.5
148,nitsanluke,2024-03-22,rollingAvg_size_all,4.0
149,nitsanluke,2024-03-29,rollingAvg_size_all,4.75
150,nitsanluke,2024-04-05,rollingAvg_size_all,3.375
151,tianyi-chen,2023-08-25,rollingAvg_size_all,3.125
152,tianyi-chen,2023-09-01,rollingAvg_size_all,1.375
153,tianyi-chen,2023-09-22,rollingAvg_size_all,2.875
154,tianyi-chen,2023-09-29,rollingAvg_size_all,2.5
155,tianyi-chen,2023-10-06,rollingAvg_size_all,2.75
156,tianyi-chen,2023-10-13,rollingAvg_size_all,2.75
157,tianyi-chen,2023-10-27,rollingAvg_size_all,1.25
158,tianyi-chen,2023-11-24,rollingAvg_size_all,2.25
159,tianyi-chen,2023-12-01,rollingAvg_size_all,4.0
160,tianyi-chen,2023-12-08,rollingAvg_size_all,4.5
161,tianyi-chen,2023-12-15,rollingAvg_size_all,7.25
162,tianyi-chen,2023-12-22,rollingAvg_size_all,7.25
163,tianyi-chen,2024-01-12,rollingAvg_size_all,5.625
164,tianyi-chen,2024-01-19,rollingAvg_size_all,7.0
165,tianyi-chen,2024-01-26,rollingAvg_size_all,3.75
166,tianyi-chen,2024-02-02,rollingAvg_size_all,4.0
167,tianyi-chen,2024-02-09,rollingAvg_size_all,3.875
168,tianyi-chen,2024-02-16,rollingAvg_size_all,2.5
169,tianyi-chen,2024-03-01,rollingAvg_size_all,2.75
170,tianyi-chen,2024-03-08,rollingAvg_size_all,3.0
171,tianyi-chen,2024-03-15,rollingAvg_size_all,4.0
172,tianyi-chen,2024-03-22,rollingAvg_size_all,4.75
173,tianyi-chen,2024-03-29,rollingAvg_size_all,4.875
174,christyler3030,2023-08-25,size_all,0.0
175,christyler3030,2023-09-08,size_all,3.0
176,christyler3030,2023-09-15,size_all,1.0
177,christyler3030,2023-09-29,size_all,1.0
178,christyler3030,2023-10-06,size_all,3.5
179,christyler3030,2023-10-13,size_all,0.0
180,christyler3030,2023-11-03,size_all,3.0
181,christyler3030,2023-11-24,size_all,8.0
182,christyler3030,2023-12-01,size_all,8.0
183,christyler3030,2023-12-08,size_all,1.0
184,christyler3030,2023-12-15,size_all,10.0
185,christyler3030,2024-01-05,size_all,0.0
186,christyler3030,2024-01-12,size_all,3.0
187,christyler3030,2024-01-19,size_all,12.0
188,christyler3030,2024-01-26,size_all,4.5
189,christyler3030,2024-02-02,size_all,3.0
190,christyler3030,2024-02-09,size_all,6.5
191,christyler3030,2024-02-16,size_all,3.0
192,christyler3030,2024-02-23,size_all,0.5
193,christyler3030,2024-03-01,size_all,2.0
194,christyler3030,2024-03-08,size_all,5.0
195,christyler3030,2024-03-15,size_all,0.5
196,christyler3030,2024-03-22,size_all,5.5
197,christyler3030,2024-03-29,size_all,4.0
198,christyler3030,2024-04-05,size_all,1.5
199,danieltremblay,2023-09-01,size_all,0.0
200,danieltremblay,2023-09-08,size_all,3.0
201,danieltremblay,2023-09-15,size_all,0.0
202,danieltremblay,2023-09-22,size_all,0.0
203,danieltremblay,2023-09-29,size_all,0.0
204,danieltremblay,2023-10-06,size_all,6.0
205,danieltremblay,2023-10-13,size_all,3.0
206,danieltremblay,2023-10-20,size_all,27.0
207,danieltremblay,2023-10-27,size_all,5.5
208,danieltremblay,2023-11-03,size_all,11.0
209,danieltremblay,2023-11-10,size_all,3.5
210,danieltremblay,2023-11-24,size_all,11.5
211,danieltremblay,2023-12-01,size_all,7.5
212,danieltremblay,2023-12-08,size_all,13.0
213,danieltremblay,2023-12-22,size_all,17.0
214,danieltremblay,2024-01-05,size_all,0.0
215,danieltremblay,2024-01-12,size_all,5.0
216,danieltremblay,2024-01-19,size_all,2.5
217,danieltremblay,2024-01-26,size_all,6.0
218,danieltremblay,2024-02-02,size_all,1.5
219,danieltremblay,2024-02-09,size_all,4.0
220,danieltremblay,2024-02-16,size_all,4.0
221,danieltremblay,2024-03-22,size_all,13.5
222,danieltremblay,2024-03-29,size_all,2.0
223,erikchwang,2024-01-05,size_all,1.0
224,erikchwang,2024-01-12,size_all,6.0
225,erikchwang,2024-01-19,size_all,4.0
226,erikchwang,2024-02-02,size_all,7.5
227,erikchwang,2024-02-09,size_all,0.5
228,erikchwang,2024-02-16,size_all,2.0
229,erikchwang,2024-02-23,size_all,0.0
230,erikchwang,2024-03-08,size_all,5.0
231,erikchwang,2024-03-22,size_all,13.0
232,erikchwang,2024-03-29,size_all,2.0
233,gebelangsn,2023-09-29,size_all,0.0
234,gebelangsn,2023-10-06,size_all,0.0
235,gebelangsn,2023-10-13,size_all,0.0
236,gebelangsn,2023-10-20,size_all,2.0
237,gebelangsn,2023-10-27,size_all,1.0
238,gebelangsn,2023-11-03,size_all,3.0
239,gebelangsn,2023-11-24,size_all,2.5
240,gebelangsn,2023-12-01,size_all,1.0
241,gebelangsn,2023-12-08,size_all,1.0
242,gebelangsn,2023-12-15,size_all,17.0
243,gebelangsn,2023-12-22,size_all,0.0
244,gebelangsn,2024-01-12,size_all,0.5
245,gebelangsn,2024-01-19,size_all,2.0
246,gebelangsn,2024-01-26,size_all,0.0
247,gebelangsn,2024-03-22,size_all,4.0
248,lachisis,2023-02-10,size_all,0.0
249,lachisis,2023-04-21,size_all,0.0
250,lachisis,2023-09-29,size_all,1.0
251,lachisis,2023-10-06,size_all,0.0
252,lachisis,2023-10-13,size_all,3.0
253,lachisis,2023-10-20,size_all,8.0
254,lachisis,2023-10-27,size_all,5.0
255,lachisis,2023-12-15,size_all,23.0
256,lachisis,2023-12-22,size_all,3.0
257,lachisis,2023-12-29,size_all,0.0
258,lachisis,2024-01-19,size_all,14.0
259,lachisis,2024-01-26,size_all,2.0
260,lachisis,2024-02-02,size_all,4.0
261,lachisis,2024-02-16,size_all,0.0
262,lachisis,2024-03-08,size_all,0.5
263,lachisis,2024-03-22,size_all,10.0
264,lachisis,2024-03-29,size_all,2.0
265,mebrunet,2024-03-01,size_all,4.5
266,mebrunet,2024-03-22,size_all,12.5
267,mebrunet,2024-03-29,size_all,1.5
268,mmunozm,2023-09-01,size_all,0.0
269,mmunozm,2023-09-08,size_all,3.0
270,mmunozm,2023-09-15,size_all,0.0
271,mmunozm,2023-09-22,size_all,3.0
272,mmunozm,2023-09-29,size_all,1.5
273,mmunozm,2023-10-06,size_all,9.0
274,mmunozm,2023-10-13,size_all,3.0
275,mmunozm,2023-10-20,size_all,0.0
276,mmunozm,2023-10-27,size_all,12.5
277,mmunozm,2023-11-03,size_all,6.0
278,mmunozm,2023-11-10,size_all,4.5
279,mmunozm,2023-11-17,size_all,8.0
280,mmunozm,2023-11-24,size_all,1.0
281,mmunozm,2023-12-01,size_all,7.5
282,mmunozm,2023-12-08,size_all,11.5
283,mmunozm,2023-12-15,size_all,1.5
284,mmunozm,2023-12-22,size_all,8.0
285,mmunozm,2024-01-05,size_all,3.0
286,mmunozm,2024-01-12,size_all,0.5
287,mmunozm,2024-01-19,size_all,2.5
288,mmunozm,2024-01-26,size_all,3.5
289,mmunozm,2024-02-02,size_all,6.0
290,mmunozm,2024-02-09,size_all,3.0
291,mmunozm,2024-02-16,size_all,5.0
292,mmunozm,2024-03-22,size_all,1.5
293,mmunozm,2024-03-29,size_all,2.0
294,mmunozm,2024-04-05,size_all,0.0
295,nitsanluke,2023-09-01,size_all,0.0
296,nitsanluke,2023-09-08,size_all,0.0
297,nitsanluke,2023-09-15,size_all,5.0
298,nitsanluke,2023-09-22,size_all,13.5
299,nitsanluke,2023-09-29,size_all,3.0
300,nitsanluke,2023-10-06,size_all,0.0
301,nitsanluke,2023-10-13,size_all,0.0
302,nitsanluke,2023-10-20,size_all,1.0
303,nitsanluke,2023-10-27,size_all,10.0
304,nitsanluke,2023-11-03,size_all,4.0
305,nitsanluke,2023-11-10,size_all,0.0
306,nitsanluke,2023-11-17,size_all,5.5
307,nitsanluke,2023-11-24,size_all,4.0
308,nitsanluke,2023-12-01,size_all,9.0
309,nitsanluke,2023-12-08,size_all,4.0
310,nitsanluke,2023-12-15,size_all,20.0
311,nitsanluke,2023-12-22,size_all,6.5
312,nitsanluke,2024-01-05,size_all,3.0
313,nitsanluke,2024-01-19,size_all,4.0
314,nitsanluke,2024-01-26,size_all,3.0
315,nitsanluke,2024-02-02,size_all,6.5
316,nitsanluke,2024-02-09,size_all,3.0
317,nitsanluke,2024-02-16,size_all,4.0
318,nitsanluke,2024-02-23,size_all,1.0
319,nitsanluke,2024-03-01,size_all,1.0
320,nitsanluke,2024-03-08,size_all,7.0
321,nitsanluke,2024-03-15,size_all,1.0
322,nitsanluke,2024-03-22,size_all,7.0
323,nitsanluke,2024-03-29,size_all,4.0
324,nitsanluke,2024-04-05,size_all,1.5
325,tianyi-chen,2023-08-25,size_all,0.0
326,tianyi-chen,2023-09-01,size_all,0.0
327,tianyi-chen,2023-09-22,size_all,10.0
328,tianyi-chen,2023-09-29,size_all,0.0
329,tianyi-chen,2023-10-06,size_all,1.0
330,tianyi-chen,2023-10-13,size_all,0.0
331,tianyi-chen,2023-10-27,size_all,4.0
332,tianyi-chen,2023-11-24,size_all,4.0
333,tianyi-chen,2023-12-01,size_all,8.0
334,tianyi-chen,2023-12-08,size_all,2.0
335,tianyi-chen,2023-12-15,size_all,15.0
336,tianyi-chen,2023-12-22,size_all,4.0
337,tianyi-chen,2024-01-12,size_all,1.5
338,tianyi-chen,2024-01-19,size_all,7.5
339,tianyi-chen,2024-01-26,size_all,2.0
340,tianyi-chen,2024-02-02,size_all,5.0
341,tianyi-chen,2024-02-09,size_all,1.0
342,tianyi-chen,2024-02-16,size_all,2.0
343,tianyi-chen,2024-03-01,size_all,3.0
344,tianyi-chen,2024-03-08,size_all,6.0
345,tianyi-chen,2024-03-15,size_all,5.0
346,tianyi-chen,2024-03-22,size_all,5.0
347,tianyi-chen,2024-03-29,size_all,3.5
